hotelname,location,description,rating,location_splitted,city
Mercure Mont Saint Michel,Le Mont-Saint-Michel,"Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses..",8.2,Mont Saint Michel,Mont Saint Michel
La Parenthèse Envoutée,Amiens,"Situé à Amiens, en Picardie, à proximité de la gare et du parc des jardins flottants, l'établissement La Parenthèse Envoutée propose des héberg..",8.9,Amiens,Amiens
The Nest,Amiens,"Situé à 1,7 km du Zénith d'Amiens, l'établissement The Nest propose un salon commun, une terrasse et un service d'étage. Vous bénéficierez grat..",8.5,Amiens,Amiens
Moxy Amiens,Amiens,"Situé au cœur de la ville et à deux pas de la gare, l’hôtel Moxy Amiens est un pied-à-terre idéal pour vos déplacements professionnels ou sport..",8.5,Amiens,Amiens
ibis Styles Amiens Centre,Amiens,"Situé à Amiens, à 3,4 km du Zénith, l'ibis Styles Amiens Centre propose des chambres climatisées et un bar. ",8.7,Amiens,Amiens
Mercure Amiens Cathédrale,Amiens,"L’hôtel 4 étoiles Mercure Amiens Cathédrale vous accueille en face de la plus grande cathédrale médiévale de France, classée au patrimoine mond..",8.2,Amiens,Amiens
Neoresid - Résidence Saint Germain,Amiens,"Situé à Amiens, près de la gare, Le Neoresid - Résidence Saint Germain dispose d'une connexion Wi-Fi gratuite. ",8.3,Amiens,Amiens
The Originals Boutique Hôtel Amiens Sud,Amiens,"Situé à Amiens, à 3,6 km du Zénith, l'établissement The Originals Boutique Hôtel Amiens Sud propose un bar, un parking privé gratuit et un jard..",8.2,Amiens,Amiens
Hotel Le Prieuré et La Résidence,Amiens,"L'Hotel Le Prieuré et La Résidence est situé dans le centre-ville d'Amiens, au pied de la cathédrale. ",8.3,Amiens,Amiens
Logis hôtel - La Chambre D'Amiens,Amiens,"Situé à Amiens, à 900 mètres du Zénith, l'établissement Logis hôtel - La Chambre D'Amiens propose un bar, un parking privé gratuit, un salon co..",8.3,Amiens,Amiens
Le Saint Louis,Amiens,"Le Saint Louis est situé dans le centre-ville d'Amiens, à 300 mètres de la gare et de la cathédrale. Il propose des chambres avec télévision pa..",8.0,Amiens,Amiens
Odalys City Amiens Blamont,Amiens,"Situé à 2,8 km du Zénith d'Amiens et à 900 mètres du musée Berny à Amiens, l'Odalys City Amiens Blamont propose des hébergements avec une conne..",8.0,Amiens,Amiens
Villa Lara Hotel,Bayeux,"La Villa Lara Hotel est un petit boutique hôtel de luxe situé dans le centre historique de Bayeux, en face de la cathédrale du XIe siècle et à ..",9.6,Bayeux,Bayeux
Domaine de Bayeux,Bayeux,Le Domaine de Bayeux occupe une maison du XVIIIe siècle avec un parc arboré dans le centre de Bayeux. ,9.2,Bayeux,Bayeux
Hotel Le Lion D'Or et Restaurant La Table Du Lion,Bayeux,"Occupant un ancien bureau de poste du XVIIIe siècle, l'Hotel Le Lion D'Or et Restaurant La Table Du Lion est désormais un établissement charman..",8.6,Bayeux,Bayeux
Hôtel d'Argouges,Bayeux,"L'Hôtel d'Argouges est un établissement du XVIIIe siècle situé au cœur de Bayeux. Il est à l'écart de la route, vous permettant de profiter ple..",8.7,Bayeux,Bayeux
Au Loup Historic Apartments,Bayeux,"Installé à Bayeux, à 550 mètres de la cathédrale Notre-Dame et à 10 minutes à pied du musée de la Tapisserie de Bayeux, l'établissement Au Loup..",8.4,Bayeux,Bayeux
Château de Bellefontaine,Bayeux,"À 800 mètres du centre de Bayeux et de sa cathédrale, l'établissement Château de Bellefontaine est un manoir du XVIIIe siècle proposant des cha..",8.1,Bayeux,Bayeux
Immolidays,Bayeux,Hébergement géré par un particulier,8.2,Bayeux,Bayeux
Churchill Hotel Bayeux Centre,Bayeux,"Situé dans une rue piétonne en plein cœur du centre historique, le Churchill Hotel Bayeux Centre se trouve à seulement 400 mètres du Musée de l..",8.1,Bayeux,Bayeux
"Radisson Blu Hotel, Rouen Centre","Centre-ville de Rouen, Rouen","Situé à Rouen, le Radisson Blu Hotel, Rouen Centre dispose d'un restaurant servant des plats locaux de haute qualité, d'une salle de sport, d'u..",8.9,Rouen,Rouen
"Hôtel de Bourgtheroulde, Autograph Collection","Centre-ville de Rouen, Rouen","Ce boutique hôtel vous accueille dans le centre historique de Rouen, à côté du Gros-Horloge et à 2 km de la salle omnisports Kindarena. ",8.4,Rouen,Rouen
Best Western Plus Hotel Litteraire Gustave Flaubert,"Centre-ville de Rouen, Rouen","Situé dans le centre historique de Rouen, à 3 km du Kindarena, le Best Western Plus Hotel Litteraire Gustave Flaubert propose des hébergements ..",8.5,Rouen,Rouen
Résidence services seniors les boréales,Rouen,Hébergement géré par un particulier,9.0,Rouen,Rouen
Best Western Plus Hotel de Dieppe 1880,Rouen,Le Best Western Plus Hotel de Dieppe 1880 est célèbre en Normandie pour sa spécialité appelée « Caneton à la Presse ». ,8.5,Rouen,Rouen
DOMITYS Les Mosaïques,Rouen,"Situé à 1 km de la gare de Voltaire, Rouen, le DOMITYS Les Mosaïques propose des hébergements, un restaurant, un bar, un salon commun et un jar..",9.0,Rouen,Rouen
lylylodge,"Centre-ville de Rouen, Rouen",Hébergement géré par un particulier,8.9,Rouen,Rouen
Ibis Styles Rouen Centre Rive Gauche,Rouen,"Situé à Rouen, à 3,3 km de la cathédrale Notre-Dame, l'ibis Styles Rouen Centre Rive Gauche propose un hébergement avec une terrasse et un park..",8.4,Rouen,Rouen
"Holiday Inn Express - Rouen Centre - Rive Gauche, an IHG Hotel",Rouen,"Situé à Rouen, à 3,1 km de la cathédrale Notre-Dame, le Holiday Inn Express - Rouen Centre - Rive Gauche, an IHG Hotel possède un restaurant, u..",8.4,Rouen,Rouen
Hotel cardinal,"Centre-ville de Rouen, Rouen","Situé à Rouen, à 90 mètres de la cathédrale Notre-Dame, l'Hotel cardinal propose des chambres avec vue sur la ville et connexion Wi-Fi gratuite..",8.3,Rouen,Rouen
Hôtel Paulette Rouen centre NOUVEAU,"Centre-ville de Rouen, Rouen","L’Hôtel Paulette Rouen centre NOUVEAU vous accueille dans le centre de Rouen, à seulement 200 mètres de la rue du Gros-Horloge, à 300 mètres de..",8.5,Rouen,Rouen
Soleil d’été,Rouen,"Situé à Rouen, à 1,6 km de la gare de l'Hôtel de ville de Soteville, le Soleil d'été propose des hébergements avec connexion Wi-Fi et parking p..",8.3,Rouen,Rouen
Campanile Rouen Mermoz,Rouen,"Doté d’un restaurant, d’un bar, d’un salon commun et d’un parking privé, le Campanile Rouen Mermoz vous accueille à Rouen, à 2,4 km du palais d..",8.1,Rouen,Rouen
Mercure Rouen Centre Cathédrale,"Centre-ville de Rouen, Rouen","Le Mercure Rouen Centre Cathédrale propose des chambres climatisées dotées d'une télévision par satellite, d'une connexion Wi-Fi gratuite et d'..",8.1,Rouen,Rouen
Hotel De Quebec,"Centre-ville de Rouen, Rouen",L'Alive Hôtel de Québec vous accueille dans un quartier paisible au cœur de Rouen. ,8.2,Rouen,Rouen
Hotel Dandy Rouen centre,"Centre-ville de Rouen, Rouen","Cet hôtel est situé dans le centre de Rouen, à 100 mètres de la place du Vieux-Marché et de l’église Sainte-Jeanne-d’Arc. ",8.0,Rouen,Rouen
Hilton Garden Inn Le Havre Centre,"Perret, Le Havre","Le Hilton Garden Inn Le Havre Centre est situé sur le front de mer du Havre, à 350 mètres de la plage et à 300 mètres de l'église Saint-Joseph...",8.7,Le Havre,Le Havre
Odalys City Le Havre Centre Gare,"Perret, Le Havre","Situé au Havre, à proximité du Volcan, de l'appartement témoin Perret et de l'église Saint-Michel, Une connexion Wi-Fi est disponible gratuitem..",8.7,Le Havre,Le Havre
Hotel Spa Le Pasino,"Perret, Le Havre","Situé au cœur du Havre, l'Hotel Spa le Pasino dispose d'une piscine intérieure, d'un spa avec un sauna et d'un casino sur place. ",8.4,Le Havre,Le Havre
Nomad Hotel le Havre,Le Havre,"Le Nomad Hotel Le Havre propose des chambres climatisées, dotées d'une connexion Wi-Fi gratuite et décorées dans un style moderne. ",8.5,Le Havre,Le Havre
Best Western Plus Le Havre Centre Gare,Le Havre,"Situé dans le centre du Havre, à seulement 10 minutes de route de la plage, le Best Western Plus Le Havre Centre Gare est un hôtel design 4 éto..",8.4,Le Havre,Le Havre
Hôtel Spa Vent d'Ouest,"Perret, Le Havre","L’Hôtel Spa Vent d’Ouest se situe au Havre, à seulement 550 mètres de la plage et à 5 minutes de route du terminal ferry. ",8.0,Le Havre,Le Havre
Holiday Inn Express - Le Havre Centre,Le Havre,"L’Holiday Inn Express - Le Havre Centre, situé dans le centre-ville du Havre et à 600 mètres de la gare SNCF, vous accueille pour un séjour pro..",8.2,Le Havre,Le Havre
Aparthotel Adagio Access Le Havre Les Docks,Le Havre,"L'Aparthotel Adagio Access Le Havre Les Docks vous accueille au Havre, à 100 mètres du centre commercial Docks Vauban et à 3 km du centre-ville..",8.2,Le Havre,Le Havre
Hôtel Carmin,"Perret, Le Havre","L'Hôtel Carmin est situé dans le centre-ville du Havre, à 700 mètres de la plage HAVRE. Il propose des chambres avec salle de bains privative e..",8.3,Le Havre,Le Havre
ibis Le Havre Centre,"Perret, Le Havre","L'ibis Le Havre Centre est situé dans le centre-ville du Havre, à proximité de la gare SNCF, du port ferry et du centre du commerce internation..",8.0,Le Havre,Le Havre
La Petite Rade Hôtel,Le Havre,"Installé au Havre, à quelques pas de la côte, l'établissement La Petite Rade Hôtel offre une vue panoramique sur la mer et dispose d'un accès d..",8.2,Le Havre,Le Havre
Villa Raphaëlle #2 Centre ville avec parking,Le Havre,"Située à 2,1 km de la plage du Havre, la Villa Raphaëlle #2 Centre ville avec parking propose un salon commun, une terrasse et une cuisine comm..",9.4,Le Havre,Le Havre
Hôtel D'Aubusson,"6e arr., Paris","L'Hôtel D'Aubusson occupe un hôtel particulier du XVIIe siècle au cœur du Quartier latin, à seulement 350 mètres de la station de métro Odéon. ",9.2,Paris,Paris
Chouchou Hotel,"9e arr., Paris","Idéalement situé dans le centre de Paris, le Chouchou Hotel propose des chambres climatisées, un restaurant, une connexion Wi-Fi gratuite et un..",9.0,Paris,Paris
Hôtel Le Presbytère,"4e arr., Paris","L'Hôtel Le Presbytère vous accueille dans un ancien presbytère. Il est situé dans le centre de Paris, à seulement 300 mètres du célèbre Centre ..",9.2,Paris,Paris
Fauchon l'Hôtel Paris,"8e arr., Paris","Le Fauchon l'Hotel est situé à Paris, à 2 minutes à pied de la station de métro Madeleine et à 8 minutes de marche de la place de la Concorde, ..",9.3,Paris,Paris
La Planque Hotel,"10e arr., Paris","Dotée d’un jardin et d’un salon commun, La Planque Hotel est installée à Paris, à 3,1 km du Centre Pompidou et à 3,2 km de l’opéra Bastille. ",9.1,Paris,Paris
Victoria Palace Hotel,"6e arr., Paris","Le Victoria Palace Hotel se situe à 250 mètres de la rue du Cherche-Midi datant du XVIIIème siècle, ainsi qu’à 750 mètres de la gare Montparnas..",8.9,Paris,Paris
Hôtel Le Milie Rose,"10e arr., Paris","Doté d'un bar, d'une terrasse et offrant une vue sur la ville, l'Hôtel Le Milie Rose est situé à Paris, à 1,1 km de la station de métro Gare du..",9.1,Paris,Paris
Nolinski Paris,"1er arr., Paris","Le Nolinski Paris est situé dans le 1er arrondissement de Paris, à 500 mètres du jardin des Tuileries et à proximité du quartier commerçant de ..",9.2,Paris,Paris
Le Meurice – Dorchester Collection,"1er arr., Paris","L'hôtel Le Meurice est un palace situé dans le centre-ville de Paris. Il possède un restaurant doté de 2 étoiles au guide Michelin, ainsi qu'un..",9.3,Paris,Paris
Hotel Monge,"5e arr., Paris","Situé dans le 5e arrondissement de Paris, dans le Quartier Latin, entre le jardin des plantes et la cathédrale Notre-Dame, l'établissement Hote..",9.2,Paris,Paris
Le Burgundy Paris,"1er arr., Paris",L'hôtel Le Burgundy Paris bénéficie d'un emplacement central à seulement 50 mètres de la rue Saint-Honoré et de ses boutiques chic. ,9.0,Paris,Paris
Select Hotel,"5e arr., Paris","Le Select Hotel vous accueille au cœur de l'animation du Quartier latin, dans le 5ème arrondissement de Paris. Vous serez à 900 mètres de la ca..",8.9,Paris,Paris
Hôtel Jardin de Cluny,"5e arr., Paris","Situé au cœur du Quartier latin, entre la cathédrale Notre-Dame et la Sorbonne, l’Hôtel Jardin de Cluny s’est engagé dans la voie du tourisme d..",9.1,Paris,Paris
Maison Mère,"9e arr., Paris","Dotée d'un bar, d'un salon commun et d'une vue sur la ville, la Maison Mère est située à Paris, à 1 km de la station de métro Pigalle. ",9.1,Paris,Paris
Le Basile Hôtel,"9e arr., Paris","L'Le Basile Hôtel se trouve à 2 minutes à pied de la Place de la Madeleine et à 600 mètres de l'Opéra Garnier, dans le 9ème arrondissement de P..",9.1,Paris,Paris
Hotel Touraine Opera,"9e arr., Paris",Cet hôtel 4 étoiles se trouve à 5 minutes à pied des grands magasins de luxe des Galeries Lafayette et du Printemps. ,9.0,Paris,Paris
Cheval Blanc Paris & Dior Spa Cheval Blanc Paris,"1er arr., Paris","Doté d’un bar, le Cheval Blanc Paris & Dior Spa Cheval Blanc Paris vous accueille à Paris, en Île-de-France, à 400 mètres du musée du Louvre et..",9.5,Paris,Paris
My Maison In Paris - Louvre,"1er arr., Paris","Situé à Paris, à 1,1 km du Centre Pompidou, l'établissement My Maison In Paris - Louvre propose des hébergements climatisés avec connexion Wi-F..",9.2,Paris,Paris
Les Jardins Du Luxembourg,"5e arr., Paris","Doté d&#39;une connexion Wi-Fi gratuite, l&#39;établissement Les Jardins Du Luxembourg vous accueille à Paris, à 1,2 km de la cathédrale Notre-..",9.0,Paris,Paris
Hôtel Le Relais des Halles,"1er arr., Paris","L'Hôtel Le Relais des Halles vous accueille dans une rue piétonne du centre de Paris, à 500 mètres du musée Georges Pompidou. ",9.2,Paris,Paris
Millésime Hôtel,"6e arr., Paris","Situé au cœur du quartier de Saint-Germain-des-Prés, le Millésime Hôtel propose des chambres climatisées et une cour avec jardin, dans un bâtim..",9.2,Paris,Paris
Au 30,"Centre de Lille, Lille","Situé à Lille, à 50 mètres du Zénith et du Grand Palais, l'établissement Au 30 propose des appartements et des suites indépendants. La station ..",9.5,Lille,Lille
L'Hôtel Particulier Ascott,"Saint-Servan, Saint-Malo","Entièrement rénové, l'établissement L'Hôtel Particulier Ascott occupe un ancien manoir du XIXe siècle, situé dans le quartier résidentiel de Sa..",9.1,Saint-Malo,St Malo
COQ Hotel Paris,"13e arr., Paris","Situé dans le 13ème arrondissement de Paris, le COQ Hotel Paris propose une réception ouverte 24h/24, un bar et un service de concierge. ",9.0,Paris,Paris
Le Général Hôtel,"11e arr., Paris","Le Général Hôtel se trouve à seulement 5 minutes de la place de la République, dans le 11ème arrondissement. Il dispose d'un centre de remise e..",9.1,Paris,Paris
Hôtel Saint-Marc,"2e arr., Paris","Situé à Paris, en Île-de-France, l'Hôtel Saint-Marc propose une terrasse, un centre de spa, un hammam et un bar. Offrant une vue sur le jardin,..",9.2,Paris,Paris
Hotel Malte - Astotel,"2e arr., Paris","L’Hotel Malte - Astotel est implanté dans un quartier historique du centre de Paris, à seulement 650 mètres du musée du Louvre. ",9.1,Paris,Paris
Au Cœur du Jardin,"Centre de Lille, Lille","Situé à seulement 10 minutes à pied de la gare de Lille-Flandres TGV, l'établissement Au Cœur du Jardin propose des studios indépendants dotés ..",9.1,Lille,Lille
Aparthotel Adagio Lille Centre Grand Place,"Centre de Lille, Lille","Doté d'un salon commun et d'une connexion Wi-Fi gratuite, l'Aparthotel Adagio Lille Centre Grand Place est situé dans le centre de Lille, à pro..",8.9,Lille,Lille
Hôtel Barrière Lille,"Centre de Lille, Lille","Établissement 5 étoiles, l'Hôtel Barrière Lille vous accueille à Lille, à 400 mètres de la gare de Lille-Europe, à 15 minutes de route du stade..",8.6,Lille,Lille
A & V Appart'hôtel,"Wazemmes, Lille","Situé à Lille, à 1,7 km du zoo et à 1,4 km du grand magasin Printemps, l'A & V Appart'hôtel offre une vue sur le jardin et propose une connexio..",8.7,Lille,Lille
Hotel L'Arbre Voyageur - BW Premier Collection - LILLE,"Vieux-Lille, Lille","Situé dans le quartier du Vieux Lille, à respectivement 5 et 10 minutes de marche des gares de Lille-Flandres et Lille-Europe, l'Hotel L'Arbre ..",8.9,Lille,Lille
OKKO Hotels Lille Centre,"Centre de Lille, Lille","Installé à Lille, l’OKKO Hotels Lille Centre possède un bar, un restaurant, un salon commun et une salle de sport. ",8.8,Lille,Lille
Moxy Lille City,"Centre de Lille, Lille","Le Moxy Lille City est situé à Lille, à 700 mètres de la braderie de Lille. Il propose des hébergements avec une terrasse et un parking privé. ",8.6,Lille,Lille
Mama Shelter Lille,"Centre de Lille, Lille","Le Mama Shelter Lille est situé dans le centre de Lille, à 4 minutes à pied de la gare et de la station de métro Lille Flandres ainsi qu'à 7 mi..",8.5,Lille,Lille
Best Western Premier Why Hotel,"Centre de Lille, Lille","Doté d’un bar, d’une terrasse meublée, d’une connexion Wi-Fi gratuite et d’une réception ouverte 24h/24, l’hôtel design Best Western Premier Wh..",8.5,Lille,Lille
Boa Hotel - BW Signature Collection - Lille Centre Gares,"Centre de Lille, Lille","Le Boa Hotel - BW Signature Collection - Lille Centre Gares est un hôtel design situé dans le centre de Lille, à seulement 250 mètres de la gar..",8.7,Lille,Lille
B&B HOTEL Lille Lillenium Eurasanté,"Lille Sud, Lille","Idéalement situé dans le quartier de Lille Sud, le B&B HOTEL Lille Lillenium Eurasanté se trouve à 2,3 km de la maison Coilliot, à 3,4 km de l'..",8.4,Lille,Lille
"L'Hermitage Gantois, Autograph Collection","Centre de Lille, Lille","Doté d'un spa sur place, l'établissement 5 étoiles L'Hermitage Gantois, Autograph Collection est installé dans un élégant bâtiment datant du XV..",8.2,Lille,Lille
Grand Hotel Bellevue - Grand Place,"Centre de Lille, Lille","Situé sur la Grand-Place, dans le Vieux-Lille, le Grand Hotel Bellevue - Grand Place occupe un bâtiment à l'architecture flamande. ",8.4,Lille,Lille
Hotel Carlton,"Centre de Lille, Lille","Situé en plein cœur de Lille, à 5 minutes de marche des gares de Lille-Europe et Lille-Flandres, l’Hotel Carlton offre une vue imprenable sur l..",8.0,Lille,Lille
DOMITYS Le Piano,"Fives, Lille","Situé à 1,9 km du Zénith de Lille, le DOMITYS Le Piano propose un bar, un jardin et une réception ouverte 24h/24. Vous bénéficierez gratuitemen..",8.7,Lille,Lille
Hotel De La Treille,"Vieux-Lille, Lille","L’Hôtel de la Treille vous accueille à 3 minutes à pied du quartier du Vieux-Lille, à 650 mètres du complexe Nouveau Siècle et à 1,5 km du Lill..",8.3,Lille,Lille
Princesse Apart'hôtel,"Vieux-Lille, Lille","Situé dans le quartier historique de Lille, à 10 minutes à pied du centre-ville, le Princesse Apart'hôtel est une résidence d'appartements indé..",8.3,Lille,Lille
La Valiz,"Centre de Lille, Lille",L'établissement La Valiz est situé en face de la gare de Lille et à 2 minutes à pied du centre commercial Euralille. Vous séjournerez à 800 mèt..,8.3,Lille,Lille
Clarance Hotel Lille,"Vieux-Lille, Lille","Doté d'un bar et d'une connexion Wi-Fi gratuite dans l'ensemble des locaux, le Clarance Hotel Lille propose des hébergements à Lille, à 400 mèt..",8.1,Lille,Lille
ibis Lille Centre Grand Palais,"Centre de Lille, Lille","L'ibis Lille Centre Grand Palais est situé à Lille, à moins de 300 mètres de la station de métro Mairie de Lille et à 550 mètres du centre de c..",8.1,Lille,Lille
CALM Appart' & Hostel,"Centre de Lille, Lille","Le Calm Apparthotel vous accueille à Lille, à seulement 2 minutes à pied des stations de métro, de tramway et de train de la gare de Lille-Flan..",8.1,Lille,Lille
Hôtel Le Nouveau Monde,"Sillon, Saint-Malo","L'Hôtel Le Nouveau Monde est situé en bord de mer, à 5 minutes à pied du centre historique de Saint-Malo et à 950 mètres du port de plaisance. ",8.8,Saint-Malo,St Malo
Hôtel La Villefromoy,"Paramé, Saint-Malo","Implanté dans un quartier résidentiel en bord de mer à Saint-Malo, l'Hôtel La Villefromoy occupe une jolie demeure de caractère. ",8.8,Saint-Malo,St Malo
Golden Tulip Saint Malo– Le Grand Bé,"Intra muros, Saint-Malo","Le Golden Tulip Saint Malo– Le Grand Bé est situé au sein des remparts de Saint-Malo, à 5 minutes à pied du port. ",8.8,Saint-Malo,St Malo
Les Charmettes,"Sillon, Saint-Malo","Installé sur le front de mer dans la ville bretonne de Saint-Malo, l'hôtel Les Charmettes bénéficie d'un accès direct à la plage. ",8.6,Saint-Malo,St Malo
Grand Hôtel Des Thermes,"Sillon, Saint-Malo","Situé en bord de mer, le Grand Hôtel Des Thermes est un établissement de style Belle Époque doté d'un spa et d'une piscine intérieure. ",8.1,Saint-Malo,St Malo
Hôtel et Appart’hôtel L'Adresse,"Sillon, Saint-Malo","L’établissement L’Adresse propose un hébergement indépendant, à 30 mètres de la plage du Sillon, à 300 mètres du centre-ville de Saint-Malo et ..",8.8,Saint-Malo,St Malo
Manoir Du Cunningham,"La Cité, Saint-Malo","Le Manoir Du Cunningham datant du XVIIe siècle est situé sur le front de mer, à seulement 10 minutes à pied de la vieille ville de Saint-Malo. ",8.7,Saint-Malo,St Malo
Quic En Groigne,"Intra muros, Saint-Malo","Le Quic En Groigne bénéficie d'un emplacement idéal dans un quartier paisible du vieux Saint-Malo, à proximité de la plage, du principal quarti..",8.7,Saint-Malo,St Malo
Appartements des Marins,"Intra muros, Saint-Malo","Situé à Saint-Malo, à 250 mètres de la plage de Bon Secours, l'Appartements des Marins propose un bar ainsi que des hébergements avec une conne..",8.3,Saint-Malo,St Malo
Villa des Thermes,"Sillon, Saint-Malo","Situé à Saint-Malo, la Villa des Thermes se trouve à 170 mètres de la plage et à 2 km du port de plaisance de Saint-Malo. ",8.8,Saint-Malo,St Malo
Hôtel Ar Iniz,"Paramé, Saint-Malo","L'établissement de style moderne Hôtel Ar Iniz propose un accès direct à la plage de Sillon, un restaurant régional, un bar et une terrasse ave..",8.5,Saint-Malo,St Malo
La Maison des Armateurs,"Intra muros, Saint-Malo","Situé dans le centre historique de Saint-Malo, l’établissement La Maison des Armateurs vous accueille à 5 minutes à pied de la cathédrale et à ..",8.6,Saint-Malo,St Malo
Oceania Saint Malo,"Sillon, Saint-Malo","Donnant sur la mer, l'Oceania Saint Malo se situe sur la Chaussée du Sillon, en face de la plage du même nom et à 450 mètres du port de plaisan..",8.4,Saint-Malo,St Malo
Hotel des Abers,"Intra muros, Saint-Malo","Occupant un bâtiment construit au XVIe siècle, l'Hotel des Abers est situé dans le centre de Saint-Malo, à 400 mètres du casino et à 500 mètres..",8.8,Saint-Malo,St Malo
Hôtel Bristol Union Intra Muros,"Intra muros, Saint-Malo","L’Hôtel Bristol Union Intra Muros est situé au cœur de Saint-Malo, dans l’enceinte des remparts de la vieille ville, à 180 mètres du port de pl..",8.5,Saint-Malo,St Malo
Hôtel Le Beaufort,"Sillon, Saint-Malo","L'Hôtel Beaufort est situé directement sur la plage du Sillon, surplombant la baie de Saint-Malo. ",8.3,Saint-Malo,St Malo
Antinéa,"Sillon, Saint-Malo","Situé sur la grande plage de Saint-Malo, l'Antinéa propose un hébergement en bord de mer. ",8.2,Saint-Malo,St Malo
"The Originals Boutique, Hôtel des Marins, Saint-Malo (Inter-Hotel)","Intra muros, Saint-Malo","Situé au cœur de la ville fortifiée de Saint-Malo, l'établissement The Originals Boutique, Hôtel des Marins, Saint-Malo (Inter-Hotel) propose d..",8.3,Saint-Malo,St Malo
ibis Saint Malo Plage,"Sillon, Saint-Malo","Situé en face de la plage, à Saint-Malo, l’hôtel ibis Saint Malo Plage possède une réception ouverte 24h/24. Cet établissement dispose d’un jar..",8.3,Saint-Malo,St Malo
Hotel Ajoncs d'Or,"Intra muros, Saint-Malo","L'hôtel Ajoncs d'Or se situe au cœur des remparts historiques de la ville fortifiée de Saint-Malo, à 350 mètres du port de plaisance de la vill..",8.4,Saint-Malo,St Malo
Novotel Lille Centre Gares,"Centre de Lille, Lille","Situé à seulement 300 mètres de la gare de Lille Flandres, l'hôtel 4 étoiles Novotel Lille Centre Gares se trouve à 5 minutes de marche du cent..",8.1,Lille,Lille
Novotel Lille Centre Grand Place,"Centre de Lille, Lille","Situé dans le beau centre culturel de Lille, le Novotel Lille Centre Grand Place allie le côté moderne d'Euralille au charme de la vieille vill..",8.1,Lille,Lille
Campanile Lille Euralille,Lille,"Le Campanile Lille Euralille vous accueille à 1 km de la gare de Lille-Europe, à 2 km de la Grand-Place et à moins de 300 mètres de l'arrêt de ..",8.1,Lille,Lille
Mercure Saint Malo Balmoral,Saint-Malo,"Situé à Saint-Malo, en face de la gare et à 1 km de la plage, l'hôtel respectueux de l'environnement Mercure Saint Malo Balmoral propose des ch..",8.2,Saint-Malo,St Malo
Hôtel Le Jersey,"Sillon, Saint-Malo",L'Hôtel Le Jersey est situé à moins de 2 km de Saint-Malo.  Vous pourrez vous promener dans cette célèbre ville de pirates ou visiter le spa d'..,8.1,Saint-Malo,St Malo
Hotel De L'univers,"Intra muros, Saint-Malo","L'Hotel De L'univers est installé dans la ville fortifiée de Saint-Malo, en Bretagne, à quelques pas du port ferry et de la gare. ",8.0,Saint-Malo,St Malo
Best Western Alexandra,"Sillon, Saint-Malo","Bénéficiant d'un accès direct à la plage de Saint-Malo, le Best Western Alexandra offre une vue imprenable sur la plage et la mer. ",8.3,Saint-Malo,St Malo
"Hôtel Val-Vignes Colmar Haut-Koenigsbourg, The Originals Relais",Saint-Hippolyte,"L'Hôtel Val-Vignes Colmar Haut-Koenigsbourg, The Originals Relais est situé à Saint-Hippolyte, sur la route des vins d'Alsace, à 12 minutes de ..",8.1,Saint-Hippolyte,Chateau du Haut Koenigsbourg
Logis Hotel Le Parc & Spa,Saint-Hippolyte,Le Logis Hôtel Le Parc se trouve dans le village alsacien historique de Saint-Hippolyte. ,8.6,Saint-Hippolyte,Chateau du Haut Koenigsbourg
Hotel Restaurant A la Vignette,Saint-Hippolyte,"Installé dans une maison à colombages au cœur de la Route des Vins d'Alsace, l'Hotel Restaurant A la Vignette se situe au pied du château du Ha..",8.8,Saint-Hippolyte,Chateau du Haut Koenigsbourg
Hôtel LÉONOR the place to live,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","Situé à Strasbourg, à 600 mètres de la cathédrale, l'Hôtel LÉONOR the place to live dispose d'un bar et offre une vue sur la ville. ",9.2,Strasbourg,Strasbourg
Hotel Les Haras,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","Situé dans un bâtiment historique du XVIIIe siècle, l’Hotel Les Haras se trouve à Strasbourg, à seulement 200 mètres du centre-ville. ",9.1,Strasbourg,Strasbourg
Hotel Cour du Corbeau Strasbourg - MGallery,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","L’Hotel Cour du Corbeau Strasbourg - MGallery vous accueille au cœur de Strasbourg, dans un bâtiment rénové du XVIe siècle. ",9.1,Strasbourg,Strasbourg
Pavillon REGENT PETITE FRANCE,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg",Le Pavillon Régent Petite France est situé dans le cœur de Strasbourg. Vous bénéficierez gratuitement d'une connexion Wi-Fi. Les ponts couverts..,9.0,Strasbourg,Strasbourg
Boutique Hotel Des XV,"Quartier Européen - Orangerie, Strasbourg","Le Boutique Hotel Des XV est un hôtel de caractère situé à Strasbourg, à 100 mètres du parc de l'Orangerie ainsi qu'à respectivement 15 et 20 m..",9.0,Strasbourg,Strasbourg
Hôtel & Spa Le Bouclier D'or,"Centre de Strasbourg - Petite France - Cathédrale, Strasbourg","L’Hôtel & Spa Le Bouclier d’Or se situe dans le quartier historique de la Petite France, dans un bâtiment du XVIe siècle, à 5 minutes à pied de..",9.0,Strasbourg,Strasbourg
